0,1020,1200,200
0,824,238,192
0,186,70,636
0,310,934,144
70,452,196,94
430,0,768,144
0,0,432,98
1034,310,164,144
1118,448,82,568
348,632,242,66
658,632,198,66
590,632,70,30
952,828,163,180
936,834,20,174
922,850,14,158
906,868,14,140
890,886,14,124
874,902,14,104
854,918,14,88
822,720,62,74
820,796,34,32
242,832,18,178
262,850,18,156
284,872,16,126
306,894,16,105
330,916,16,76
290,718,90,58
344,778,40,48
320,778,24,20
1058,768,62,56
340,454,426,38
148,546,42,42
98,768,44,52
482,578,46,52
866,622,40,16
532,960,90,56
340,94,92,32
388,126,48,20
485,142,42,34
628,154,42,42
674,138,44,38
758,642,20,88
470,642,20,88
280,404,20,80
86,496,20,80
854,404,20,80
1180,144,20,164
0,96,68,88
592,662,68,32
