0,1200,1200,50
0,1088,490,114
492,1144,26,54
0,950,518,124
0,878,560,118
0,714,374,172
0,562,422,152
0,396,224,158
0,0,94,392
0,0,272,224
270,0,52,182
322,0,878,76
364,76,420,96
408,172,134,94
606,172,134,94
422,260,22,76
710,260,22,76
790,78,262,100
820,168,40,40
1012,336,42,20
1052,76,46,86
1164,76,36,128
1142,248,58,950
1114,294,26,358
1052,440,66,142
1018,480,34,92
1000,680,142,134
974,720,26,80
715,920,422,276
680,948,32,246
762,870,62,48
860,700,50,138
826,742,124,90
914,288,48,24
390,446,25,25
1008,242,44,24
0,0,0,0
540,170,70,34
