0,1200,1200,50
0,0,1200,230
0,230,180,970
0,920,558,280
688,920,512,280
1022,230,178,688
178,556,60,344
236,722,50,200
928,872,94,50
966,770,56,102
958,230,64,150
916,230,44,88
866,230,50,30
480,230,46,26
290,230,40,102
180,230,56,122
180,478,66,50
384,818,86,100
532,864,42,22
350,580,120,126
728,680,128,122
858,718,52,22
856,628,16,86
968,670,54,18
968,434,54,18
858,296,16,86
774,336,40,16
436,286,40,16
244,430,40,16
616,200,16,86
376,294,16,86
548,1180,152
0,0,0,0
