0,1200,1200,50
824,866,372,330
780,1018,45,182
850,840,62,26
910,790,288,76
1056,192,142,598
1008,192,45,338
984,222,24,176
966,384,24,16
1152,0,46,192
836,0,316,106
846,104,88,36
870,140,38,22
540,0,294,82
0,0,552,138
626,82,42,30
340,138,178,20
0,140,262,112
246,240,36,14
0,252,118,230
106,452,34,18
0,482,92,718
92,786,46,58
182,886,74,310
256,986,108,214
254,918,30,70
284,938,26,50
300,966,26,22
356,1072,24,124
380,1120,48,80
426,1142,118,56
512,1128,32,32
608,1128,32,32
608,1162,172,32
414,262,322,546
530,740,90,282
490,802,218,80
340,472,72,304
262,524,76,160
272,502,70,22
306,682,34,54
390,776,36,44
736,290,26,442
760,314,32,348
792,346,48,242
838,446,20,142
1084,108,66,80
546,1152,60,46
