0,0,1200,156
0,0,26,1200
1174,0,26,1200
0,1172,1200,28
0,478,156,102
276,478,646,102
1044,478,156,102
136,744,158,188
858,888,202,216
926,1070,68,112
1058,1054,45,45
525,196,150,96
525,380,150,96
576,540,48,134
342,866,182,252
142,1110,525,65
26,1008,115,165
26,962,24,46
526,864,45,30
434,814,45,48
144,1060,46,46
230,868,20,94
1034,158,154,90
1142,252,46,230
1058,436,134,42
672,150,54,84
285,154,152,70
26,190,92,62
86,212,18,72
26,396,20,20
456,436,68,48
338,444,42,38
422,402,20,80
288,1056,50,50
